Food_Code,Food_Description_EN,Food_Description_FR,Alternate_Description_EN,Alternate_Description_FR,Food_Source_Code,USDA_NDB_Code,CNF_Food_Group_Code,Comment_EN,Comment_FR,ScientificName,Food_Last_Updated_Date
25,"Cheese, cottage, creamed (4.5% M.F.)","Fromage cottage en crème (4,5% M.G.)",,,0,01012,1,,,,2026-01-27
26,"Cheese, cottage, creamed with fruit",Fromage cottage en crème avec fruits,,,0,01013,1,,,,2012-06-29
27,"Cheese, cottage, uncreamed, dry curd (0.4% M.F.)","Fromage cottage sec pressé (0,4% M.G.)",,,0,01014,1,,,,2015-05-08
28,"Cheese, cream cheese product, plain","Fromage, produit de fromage à la crème, nature",,,37,01017,1,,,,2026-01-28
29,"Cheese, edam, mini wheel","Fromage edam, mini roue",,,37,01018,1,,,,2026-01-28
30,"Cheese, fontina",Fromage fontina,,,0,01020,1,,,,2012-07-24
31,"Cheese, gjetost",Fromage gjetost,,,0,01021,1,,,,2012-07-24
32,"Cheese, gruyere",Fromage gruyère,,,0,01023,1,,,,2012-07-24
33,"Cheese, limburger",Fromage limburger (limbourg),,limbourg,3,01024,1,,,,2026-01-28
34,"Cheese, monterey jack",Fromage monterey jack,,,37,01025,1,,,,2026-01-28
35,"Cheese, mozzarella, (48% water, 25% M.F.)","Fromage mozzarella (48%d'humidité, 25% M.G.)",,,0,01027,1,,,,2012-07-24
37,"Cheese, muenster",Fromage muenster,,,0,01030,1,,,,2012-07-24
38,"Cheese, neufchatel",Fromage neufchatel,,,0,01031,1,,,,2012-07-24
39,"Cheese, parmesan, shelf stable","Fromage parmesan, longue conservation",,,37,01032,1,,,,2019-06-05
40,"Cheese, parmesan, hard","Fromage parmesan, pâte dure",,,3,01033,1,,,,2026-01-27
41,"Cheese, port-salut",Fromage port-salut,,,0,01034,1,,,,2012-07-24
42,"Cheese, provolone",Fromage provolone,,,37,01035,1,,,,2026-01-28
43,"Cheese, ricotta",Fromage ricotta,,,37,01036,1,,,,2026-01-28
44,"Cheese, ricotta, light","Fromage ricotta, léger",,,37,01037,1,,,,2026-01-28
45,"Cheese, romano",Fromage romano,,,3,01038,1,,,,2012-07-24
46,"Cheese, roquefort (blue)",Fromage roquefort (bleu),,,0,01039,1,,,,2012-07-24
47,"Cheese, swiss (emmental)",Fromage suisse (emmental),emmental,emmental,37,01040,1,,,,2026-01-28
48,"Cheese, tilsit, with whole milk","Fromage tilsit, avec lait entier",,,3,01041,1,,,,2012-07-24
51,"Cheese, processed, cheddar, cold pack","Fromage fondu, préparation, cheddar, conditionné à froid",,,0,01045,1,,,,2012-07-24
52,"Cheese, processed product, swiss, loaf","Produit de fromage fondu, Suisse, pain",,,0,01047,1,,,,2026-01-28
54,"Cream, whipped, cream topping, pressurized","Crème, garniture fouettée, sous pression (bombe)",,,0,01054,1,,,,2012-06-19
55,"Eggnog, 4% to 8% M.F.","Lait de poule, 4% à 8% M.G.",,eggnog,0,01057,1,,,,2026-01-28
56,"Coffee whitener (non dairy), liquid","Colorant à café (non laitier), liquide",Coffee mate,Coffee mate,0,01067,1,"coffee-mate, international delight, no name","coffee-mate, international delight, sans nom",,2026-01-28
57,"Dessert topping (non dairy), powdered","Garniture à dessert (non laitière), poudre",,,0,01070,1,,,,2012-08-31
58,"Dessert topping (non dairy), powdered, prepared with whole milk","Garniture à dessert (non laitière), poudre, préparée avec lait entier",,,0,01071,1,,,,2012-08-31
59,"Dessert topping (non dairy), pressurized","Garniture à dessert (non laitière), sous pression (bombe)",,,0,01072,1,,,,2012-08-31
60,"Dessert topping (non dairy), frozen, semisolid","Garniture à dessert (non laitière), congelée, semi-solide",Cool Whip,Cool Whip,0,01073,1,,,,2026-01-28
61,"Milk, fluid, partly skimmed, 2% M.F.","Lait, partiellement écrémé, liquide, 2% M.G.",,,37,01079,1,"Neilson, Dairyland, Quebon, Beatrice, Sealtest, Natrel, Lactantia, Baxter, Scotsburn, Farmers, Lucerne, Foremost, Macs","Neilson, Dairyland, Québon, Béatrice, Sealtest, Natrel, Lactantia, Baxter, Scotsburn, Farmers, Lucerne, Foremost, Macs",,2026-01-28
63,"Milk, fluid, partly skimmed, 1% M.F.","Lait, liquide, partiellement écrémé, 1% M.G.",,,37,01082,1,"Neilson, Dairyland, Beatrice, Sealtest, Quebon, Natrel, Lactantia, Baxter, Farmers, Scotsburn, Foremost, Lucerne, Macs","Neilson, Dairyland, Béatrice, Sealtest, Québon, Natrel, Lactantia, Baxter, Farmers, Scotsburn, Foremost, Lucerne, Macs",,2026-01-28
66,"Milk, dry whole","Lait, poudre, entier",,,1,01090,1,medallion food co.,medallion food co.,,2026-01-28
67,"Milk, dry, buttermilk, sweet cream","Babeurre, poudre, crème douce",,Lait de beurre,0,01094,1,,,,2026-01-28
68,"Milk, condensed, sweetened, canned","Lait, concentré, sucré, conserve","sweetened, with sugar, sugar added, added sugar",,3,01095,1,,,,2026-01-28
69,"Milk, fluid, chocolate, whole","Lait, liquide, chocolat, entier",,,0,01102,1,,,,2026-01-28
